;Velo Liste für HändlerInnen;;;;;;
;Name;Stebi's Radshop, 3664 Burgistein;;;;;
;Händler Nr.;25;;;;;
;Anzahl Velos:;10;;;;;
;;;;;;;
;Quittungs-Nummer;Art des Velos: Herrenrad (HR), Damenrad (DR), Kindervelo (KV);Farbe;Marke;Rahmennummer;Vignetten-nummer 2011;Verkaufs-preis
1;5591;Damenrad;grau-schwarz;Altra;AF21106879;;370
2;5592;Jugendrad;blau-silber;"Tigra 24""";F02025216;;265
3;5593;Mountainbike;blau-weiss;"Canyon 26""";F606Y0059;;320
4;5594;Schülerrad;schwarz;"Raleigh 26""";PT009163;;320
5;5595;Mountain Fully;schwarz;"Scott 26""";69970440;;450
6;5596;Mountainbike;silber-blau;"Trek 26""";WTUB118960;;390
7;5597;Rennrad;Pink;Cilo;64332;;390
8;5598;Rennrad;schwarz;Peugeot;Y71023953;;390
9;5599;Herrenrad;grau-grün;"Tigra 28""";700023;;390
10;5600;Moutainbike;schwarz-grün;"Felt 26""";AJ10210276;;495
11;;;;;;;
12;;;;;;;
13;;;;;;;
14;;;;;;;
15;;;;;;;
16;;;;;;;
17;;;;;;;
18;;;;;;;
19;;;;;;;
20;;;;;;;
21;;;;;;;
22;;;;;;;
23;;;;;;;
24;;;;;;;
25;;;;;;;
26;;;;;;;
27;;;;;;;
28;;;;;;;
29;;;;;;;
30;;;;;;;
31;;;;;;;
32;;;;;;;
33;;;;;;;
34;;;;;;;
35;;;;;;;
36;;;;;;;
37;;;;;;;
38;;;;;;;
39;;;;;;;
40;;;;;;;
41;;;;;;;
42;;;;;;;
43;;;;;;;
44;;;;;;;
45;;;;;;;
46;;;;;;;
47;;;;;;;
48;;;;;;;
49;;;;;;;
50;;;;;;;
51;;;;;;;
52;;;;;;;
53;;;;;;;
54;;;;;;;
